	Lmax	AO	PVO	AlR	RACau	CRPed	LRBo	nivel.trofico		
Apareiodon_ibitiensis	11.29999995	0.048223359	0.610744495	0.173964883	1.503717957	0.119434583	0.259011774	2.3		
Apareiodon_piracicabae	12	0.046412659	0.593990371	0.202835554	2.793759299	0.122116953	0.295828223	2.3		
Leporellus_vittatus	30	0.034421769	0.563454759	0.177006803	3.611417705	0.172312925	0.308724832	2.3		
Schizodon_borellii	30	0.03990333	0.539905832	0.247656942	2.368511085	0.094622425	0.257818076	2.5		
Leporinus_striatus	25.00000005	0.053338119	0.519933472	0.209874167	3.461762813	0.106656551	0.268542369	2		
Leporinus_macrocephalus	60	0.036424067	0.539544849	0.269234273	1.627106202	0.092299204	0.343185514	2		
Leporinus_obtusidens	76.00000005	0.035496689	0.574038918	0.257019868	2.080816145	0.118145695	0.360964582	2		
Leporinus_elongatus	39.79999995	0.035851319	0.560871485	0.21764988	2.119587328	0.094628297	0.313828319	2		
Leporinus_octofasciatus	23.50000005	0.048795042	0.568420388	0.225769509	1.564665936	0.086779935	0.299025862	2		
Leporinus_friderici	40.00000005	0.049375742	0.530280659	0.233311226	2.925482345	0.091257968	0.365828729	3.3		
Leporinus_lacustris	20.29999995	0.047387926	0.509079625	0.265793746	2.406621409	0.074591755	0.287946345	3.7		
Prochilodus_lineatus	59.20000005	0.033306017	0.480863979	0.319620355	3.681866114	0.116429066	0.533608114	2.2		
Cyphocharax_gillii	10.00000005	0.075649311	0.585619499	0.25308315	1.798362018	0.109729435	0.526013278	2		
Cyphocharax_modestus	16.2	0.068455339	0.587217008	0.300634991	1.813037091	0.087317532	0.447216809	2		
Steindachnerina_insculpta	10.60000005	0.055322367	0.570254095	0.242257874	2.510994034	0.108485086	0.43800518	2.1		
Steindachnerina_brevipinna	10.90000005	0.061342026	0.576753883	0.256298464	2.027104622	0.106944523	0.522671615	2		
Metynnis_lippincottianus	14.89999995	0.070284692	0.634270162	0.582570729	3.584756634	0.068418001	0.4817	2.9		
Serrasalmus_marginatus	27	0.057626727	0.643334124	0.417314786	3.23329623	0.095126933	0.746797628	3.6		
Acestrorhynchus_lacustris	27	0.048205315	0.700886027	0.188081913	4.100826308	0.076910827	0.595038682	4.2		
Salminus_brasiliensis	100.0000001	0.02886256	0.707331212	0.219356713	1.788786892	0.102818808	0.643914254	3.8		
Salminus_hilarii	49.99999995	0.03803251	0.667273405	0.229494533	1.98541041	0.090526339	0.593987143	3		
Hyphessobrycon_eques	4.00000005	0.085730787	0.61687655	0.319759277	1.803749973	0.071508798	0.626178452	3.1		
Hyphessobrycon_anisitsi	3	0.087625574	0.593747794	0.292061764	2.955110717	0.105190493	0.571510929	3		
Moenkhausia_forestii	3.79999995	0.076694718	0.603228195	0.352748083	2.689116215	0.071448037	0.635471941	3		
Moenkhausia_bonita	4.39999995	0.079260577	0.642654782	0.248377232	2.47510937	0.091097328	0.64485673	3.3		
Moenkhausia_intermedia	7.99999995	0.070513986	0.66219515	0.263478648	4.419120584	0.083976938	0.487021098	2.7		
Moenkhausia_sanctaefilomenae	7.00000005	0.08275395	0.584526133	0.356540524	2.377086525	0.071484724	0.54188969	3		
Hemigrammus_marginatus	4.5	0.081880655	0.554301465	0.254624626	2.229552621	0.089618596	0.544485999	2.8		
Psellogrammus_kennedyi	5.89999995	0.070313972	0.626112041	0.371975093	2.11503645	0.058712426	0.566914098	3		
Oligosarcus_pintoi	8.4	0.083894712	0.630149172	0.269054746	2.303082339	0.086667704	0.715092906	3.5		
Astyanax_altiparanae	10.60000005	0.060414064	0.615597764	0.374684475	1.785476012	0.084953589	0.476163093	2.8		
Astyanax_fasciatus	7.99999995	0.065499398	0.578865906	0.281720116	2.246390374	0.090261522	0.534638911	2.8		
Astyanax_paranae	11.29999995	0.088542414	0.652082667	0.289336533	3.002811722	0.088560675	0.631583962	2.8		
Astyanax_bockmanni	6.70000005	0.063184736	0.633380548	0.297070162	2.452601493	0.089697729	0.545113903	2.8		
Piabina_argentea	6.79999995	0.072061449	0.650687088	0.230216148	2.018412834	0.108873732	0.519539914	3		
Bryconamericus_stramineus	5.59999995	0.062680558	0.642129011	0.207650669	2.060325165	0.104169458	0.58913823	2.7		
Roeboides_descalvadensis	8.89999995	0.05869009	0.6133071	0.339308267	2.901053404	0.061978528	0.697673127	3.3		
Galeocharax_knerii	22.00000005	0.052103734	0.542411181	0.262077771	3.657629008	0.08500818	0.602504263	4		
Aphyocharax_sp.	5.29999995	0.059813395	0.566178344	0.219489179	1.460294909	0.105296012	0.420547036	3.1		
Aphyocharax_dentatus	7.2	0.056864083	0.536553631	0.209548297	2.3677456	0.124409446	0.551134113	3		
Aphyocharax_anisitsi	5.50000005	0.056330206	0.62757144	0.190892425	3.392069414	0.115489327	0.54759135	3.2		
Serrapinnus_heterodon	4.09999995	0.072003482	0.546869142	0.300823728	2.366803403	0.108268876	0.513088964	2.5		
Serrapinnus_notomelas	3.6	0.078420802	0.546285997	0.306590141	1.892917036	0.081601642	0.517259584	2.2		
Serrapinnus_sp.	1.69999995	0.09161158	0.482343042	0.226572659	3.948002316	0.073454511	0.601607756	2.3		
Scoloplax_empousa	1.99999995	0.024174732	0.765214425	0.10626565	0.396770242	0.223658607	0.374666151	2.8		
Hisonotus_sp.1	3.19999995	0.03936054	0.656723405	0.135379109	0.773066087	0.236119383	0.31164807	2.4		
Hisonotus_sp.2	4.2	0.037360563	0.707787728	0.116677844	0.832955701	0.309593453	0.382493427	2.4		
Hisonotus_insperatus	3	0.045426043	0.762869817	0.128865171	0.519282145	0.241433289	0.429907959	2.4		
Loricariichthys_platymetopon	30	0.024748037	0.828528511	0.1204304	1.647850632	0.413437842	0.398520928	2.5		
Rineloricaria_lanceolata	9.49999995	0.025302035	0.827302899	0.076439673	1.56701047	0.440433888	0.263641763	2.4		
Rineloricaria_sp.	8.59999995	0.016302147	0.755994358	0.091028757	1.343325672	0.495342244	0.257621951	2.4		
Pyxiloricaria_menezesi	13.99999995	0.03365088	0.789736347	0.085566317	1.381221908	0.472452557	0.307564315	2.4		
Farlowella_amazonum	22.5	0.015211073	0.646040563	0.042790057	2.826223592	0.381882173	0.402743839	2.3		
Hypostomus_cochliodon	22.99999995	0.025455564	0.662856664	0.179218603	2.143257463	0.261784511	0.270269388	2.1		
Hypostomus_albopunctatus	27	0.037278473	0.797380965	0.160553036	1.818429897	0.236062769	0.450009231	2		
Hypostomus_ancistroides	21	0.029275999	0.753364353	0.153667039	1.751348552	0.233216713	0.261225412	2		
Hypostomus_iheringii	11.59999995	0.055393466	0.770360805	0.136764226	2.016113221	0.22582052	0.360963256	2.3		
Hypostomus_regani	16.99999995	0.047873574	0.807576911	0.157082592	1.593851185	0.228998867	0.381519612	2		
Hypostomus_strigaticeps	15	0.045348401	0.817414594	0.144769195	2.080137771	0.247121102	0.475019032	2.2		
Ancistrus_sp.	10.99999995	0.044714471	0.781429059	0.153542871	1.424497284	0.215541753	0.500152306	2		
Hoplosternum_littorale	15.79999995	0.032611928	0.518354174	0.239545124	1.544001209	0.069182036	0.328678872	2.7		
Callichthys_callichthys	16.99999995	0.018992648	0.701375859	0.193244194	1.41128534	0.049055064	0.378944194	3		
Corydoras_aeneus	7.5	0.044935183	0.764043096	0.292882585	1.860702884	0.107650106	0.280268576	3		
Trichomycterus_sp.	7.99999995	0.026232806	0.918923715	0.132858289	1.19998903	0.167961291	0.674271489	3.3		
Bunocephalus_larai	4.99999995	0.011270872	0.977638951	0.130054593	0.907484262	0.167277149	0.307257732	3.1		
Cetopsis_gobioides	10.90000005	0.027905868	0.659051602	0.210412028	1.841545789	0.100273061	0.593168898	3.6		
Ossancora_eigenmanni	10.2	0.045999044	0.732308618	0.21579402	2.501887254	0.107415236	0.343079964	2.8		
Tatia_neivai	8.20000005	0.028429366	0.481378657	0.179060107	1.268248106	0.197698149	0.56975453	3.3		
Trachelyopterus_galeatus	22.00000005	0.045248543	0.601808053	0.233649347	1.4217532	0.048946741	0.660261682	3.1		
Pimelodella_avanhandavae	12.49999995	0.037093923	0.676688782	0.13538336	2.830129553	0.166718169	0.481260918	3.5		
Pimelodella_gracilis	18	0.049247364	0.755675917	0.151336547	2.05966771	0.16723912	0.526215081	3.2		
Pimelodella_taenioptera	12.10000005	0.048965853	0.660304244	0.133082516	1.240278891	0.156398176	0.60508277	3.6		
Rhamdia_quelen	47.4	0.035803293	0.734087541	0.191542118	1.713566874	0.146378863	0.560026158	3.2		
Imparfinis_mirini	8.50000005	0.034010401	0.779686322	0.114405059	1.865325739	0.161472009	0.718707595	3		
Imparfinis_schubarti	9.3	0.033672044	0.935691398	0.130490879	1.290007891	0.13303075	0.6110091	3		
Cetopsorhamdia_iheringi	10.60000005	0.018080541	0.768278914	0.144635477	2.54660703	0.135118954	0.60000479	3		
Phenacorhamdia_tenebrosa	6.70000005	0.017925448	0.890219491	0.096288066	2.222248521	0.141888271	0.512998773	3.2		
Pimelodus_maculatus	36	0.047830966	0.692110751	0.218152278	3.565591017	0.122612652	0.462432488	2.9		
Sorubim_lima	50.50000005	0.027019892	0.31607942	0.142612066	2.610045307	0.074777519	0.755028948	4.1		
Hemisorubim_platyrhynchos	52.5	0.035157236	0.781503933	0.141801496	1.555447604	0.124299513	0.513496417	4.5		
Pseudoplatystoma_corruscans	114	0.021140192	0.725152635	0.139892566	2.675087748	0.049909231	0.76158325	4.5		
Pseudopimelodus_mangurus	34.5	0.015218653	0.881640072	0.205385062	1.561336781	0.116583785	0.642362067	3.9		
Synbranchus_marmoratus	150	0.006959574	0.699051009	0.036398466	0	0	0.509424455	2.8		
Chaetobranchopsis_australis	12	0.095523341	0.653654999	0.377936615	0.245736934	0.051322993	0.436844059	3.5		
Cichlasoma_paranaense	7.39999995	0.087992359	0.672914672	0.352070971	0.908591768	0.072684479	0.414791254	3.3		
Crenicichla_britskii	14.50000005	0.076446682	0.60820435	0.200158583	0.673735868	0.105145223	0.560122779	3.1		
Tilapia_rendalli	15	0.059412299	0.712841391	0.339814892	1.209005161	0.068816117	0.500280939	2.2		
Melanorivulus_apiamici	3	0.052190417	0.609795131	0.148936001	0.656381747	0.106026357	0.428812483	3.1		
Poecilia_reticulata	3.49999995	0.06509832	0.664389436	0.21070021	0.885569822	0.25677365	0.487995884	3.2		
Phalloceros_harpagos	3.40000005	0.063786328	0.602529962	0.2377738	0.737680076	0.234417487	0.330366071	3		
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
